Sl No,Ownership Type,Fuel,Station Name,State,Commissioned Capacity (MW)
1,NTPC Owned,Coal,Barauni,Bihar,500
2,NTPC Owned,Coal,Barh,Bihar,3300
3,NTPC Owned,Coal,Bongaigaon,Assam,750
4,NTPC Owned,Coal,Dadri,Uttar Pradesh,"1,840"
5,NTPC Owned,Coal,Darlipali,Odisha,1600
6,NTPC Owned,Coal,Farakka,West Bengal,"2,100"
7,NTPC Owned,Coal,"Feroze Gandhi,Unchahar",Uttar Pradesh,"1,550"
8,NTPC Owned,Coal,Gadarwara,Madhya Pradesh,1600
9,NTPC Owned,Coal,Kahalgaon,Bihar,"2,340"
10,NTPC Owned,Coal,Kanti,Bihar,390
11,NTPC Owned,Coal,Khargone,Madhya Pradesh,"1,320"
12,NTPC Owned,Coal,Korba,Chhattisgarh,"2,600"
13,NTPC Owned,Coal,Kudgi,Karnataka,"2,400"
14,NTPC Owned,Coal,Lara,Chhattisgarh,"1,600"
15,NTPC Owned,Coal,Mouda,Maharashtra,"2,320"
16,NTPC Owned,Coal,Nabinagar-NPGC,Bihar,"1,980"
17,NTPC Owned,Coal,North Karanpura,Jharkhand,"1,980"
18,NTPC Owned,Coal,Ramagundam,Telangana,"2,600"
19,NTPC Owned,Coal,Rihand,Uttar Pradesh,"3,000"
20,NTPC Owned,Coal,Simhadri,Andhra Pradesh,"2,000"
21,NTPC Owned,Coal,Singrauli,Uttar Pradesh,"2,000"
22,NTPC Owned,Coal,Sipat,Chhattisgarh,"2,980"
23,NTPC Owned,Coal,Solapur,Maharashtra,1320
24,NTPC Owned,Coal,Talcher Kaniha,Odisha,"3,000"
25,NTPC Owned,Coal,Tanda,Uttar Pradesh,"1,320"
26,NTPC Owned,Coal,Telangana,Telangana,"1,600"
27,NTPC Owned,Coal,Vindhyachal,Madhya Pradesh,"4,760"
28,JV-Subsidiaries,Coal,BIFPCL,Khulna,"1,320"
29,JV-Subsidiaries,Coal,Bhilai,Chhattisgarh,574
30,JV-Subsidiaries,Coal,Durgapur,West Bengal,160
31,JV-Subsidiaries,Coal,"IGSTPP, Jhajjar",Haryana,"1,500"
32,JV-Subsidiaries,Coal,Jhabua,Madhya Pradesh,600
33,JV-Subsidiaries,Coal,Meja,Uttar Pradesh,"1,320"
34,JV-Subsidiaries,Coal,Nabinagar- BRBCL,Bihar,"1,000"
35,JV-Subsidiaries,Coal,"NTECL, Vallur",Tamil Nadu,"1,500"
36,JV-Subsidiaries,Coal,Rourkela,Odisha,370
37,JV-Subsidiaries,Coal,Khurja (THDC),Uttar Pradesh,1320
38,JV-Subsidiaries,Coal,Patratu (JBVNL),Jharkhand,1600
39,JV-Subsidiaries,Coal,Sinnar TPL (MAHAGENCO),Maharashtra,1350
40,JV-Subsidiaries,Energy Storage,Tehri PSP (THDC),Uttarakhand,750
41,NTPC Owned,Gas,Anta,Rajasthan,419
42,NTPC Owned,Gas,Auraiya,Uttar Pradesh,663
43,NTPC Owned,Gas,Dadri,Uttar Pradesh,830
44,NTPC Owned,Gas,Faridabad,Haryana,432
45,NTPC Owned,Gas,Jhanor-Gandhar,Gujarat,657
46,NTPC Owned,Gas,Kawas,Gujarat,656
47,NTPC Owned,Gas,Rajiv Gandhi CCPP Kayamkulam,Kerala,360
48,JV-Subsidiaries,Gas,NEEPCO-Agartala GT CCPP,Tripura,135
49,JV-Subsidiaries,Gas,NEEPCO-Assam Gas based power plant,Assam,291
50,JV-Subsidiaries,Gas,NEEPCO-Tripura Gas based CCPP,Tripura,101
51,JV-Subsidiaries,Gas,RGPPL,Maharashtra,"1,967"
52,NTPC Owned,Hydro,Koldam (HEPP),Himachal Pradesh,800
53,JV-Subsidiaries,Hydro,Doyang HEP(3 X 25) (NEEPCO),Nagaland,75
54,JV-Subsidiaries,Hydro,Kameng HEP(4 X 150)  (NEEPCO),Arunachal,600
55,JV-Subsidiaries,Hydro,Kopili HEP(200+50+25) (NEEPCO),Assam,275
56,JV-Subsidiaries,Hydro,Koteshwar HPP (THDC),Uttarakhand,400
57,JV-Subsidiaries,Hydro,Pare HEP(2 X 55) (NEEPCO),Arunachal,110
58,JV-Subsidiaries,Hydro,Ranganadi HEP (3X135) (NEEPCO),Arunachal,405
59,JV-Subsidiaries,Hydro,Tehri HPP (THDC),Uttarakhand,1000
60,JV-Subsidiaries,Hydro,Tuirial HEP(2 X 30) (NEEPCO),Mizoram,60
61,NTPC Owned,Solar,Anta,Rajasthan,90
62,NTPC Owned,Solar,Auraiya,Uttar Pradesh,20
63,NTPC Owned,Solar,Auraiya FS,Uttar Pradesh,20
64,NTPC Owned,Solar,Dadri,Uttar Pradesh,5
65,NTPC Owned,Solar,Faridabad,Haryana,5
66,NTPC Owned,Solar,Gandhar,Gujarat,20
67,NTPC Owned,Solar,Kawas,Gujarat,56
68,NTPC Owned,Solar,Kayamkulam FS,Kerala,92
69,NTPC Owned,Solar,Nokh,Rajasthan,735
70,NTPC Owned,Solar,Port Blair,Anadaman & Nicobar Islands,5
71,NTPC Owned,Solar,Ramagundam,Telangana,10
72,NTPC Owned,Solar,Ramagundam FS,Telangana,100
73,NTPC Owned,Solar,Simhadri FS,Andhra Pradesh,25
74,NTPC Owned,Solar,Singrauli,Uttar Pradesh,15
